Mix_ID,PCC_%,Age_days,Sample_No,Weight_lb,Avg_Length_in,Avg_Diameter_in,Area_in2,Max_Load_lbf,Max_Stress_psi,Strength_MPa,Water_lbs,Cement_lbs,FineAgg_lbs,CoarseAgg_lbs,PCC_lbs,WaterCement_Ratio,TotalAgg_lbs,FineCoarse_Ratio,TotalMix_lbs,PCC_Fraction,PCC_Cement_Ratio,Cylinder_Volume_in3,Density_lb_per_in3
25% PCC,25,1,2,8.3215,8.035,3.972,12.39,20371.1,1644.02,11.3351188799058,41.024,70.464,109.568,221.408,23.488,0.582198001816531,330.976,0.494869200751554,465.952,0.0504086257811964,0.333333333333333,99.5621444245731,0.0835809639104776
25% PCC,25,1,3,8.5025,8.153,4.006,12.6,19174.1,1520.7,10.484857410903,41.024,70.464,109.568,221.408,23.488,0.582198001816531,330.976,0.494869200751554,465.952,0.0504086257811964,0.333333333333333,102.761210998371,0.0827403639699689
25% PCC,25,7,1,8.42,8.064,4.009,12.622982899375,45945.3,3638.96,25.0897459880184,41.024,70.464,109.568,221.408,23.488,0.582198001816531,330.976,0.494869200751554,465.952,0.0504086257811964,0.333333333333333,101.79173410056,0.0827179149112625
25% PCC,25,7,2,8.501,8.171,3.994,12.52869977685,44384.8,3542.37,24.4237813813773,41.024,70.464,109.568,221.408,23.488,0.582198001816531,330.976,0.494869200751554,465.952,0.0504086257811964,0.333333333333333,102.372005876641,0.0830402796858719
25% PCC,25,7,3,8.6355,8.303,4.002,12.5789401265662,48318.5,3826.91,26.3856156206739,41.024,70.464,109.568,221.408,23.488,0.582198001816531,330.976,0.494869200751554,465.952,0.0504086257811964,0.333333333333333,104.442939870879,0.0826815102167357
25% PCC,25,28,1,8.474,8.064,3.992,12.51,61150.3,4885.71,33.6857846393259,41.024,70.464,109.568,221.408,23.488,0.582198001816531,330.976,0.494869200751554,465.952,0.0504086257811964,0.333333333333333,100.930277124506,0.0839589491025235
25% PCC,25,28,2,8.533,8.142,3.992,12.51,39900.7,3182.82,21.9447713977578,41.024,70.464,109.568,221.408,23.488,0.582198001816531,330.976,0.494869200751554,465.952,0.0504086257811964,0.333333333333333,101.906537245502,0.0837335879585745
25% PCC,25,28,3,8.48,8.076,3.969,12.37,54337.5,4391.56,30.2787403244724,41.024,70.464,109.568,221.408,23.488,0.582198001816531,330.976,0.494869200751554,465.952,0.0504086257811964,0.333333333333333,99.9190714442209,0.0848686829994602
25% PCC,25,56,1,8.4985,8.038,3.969,12.3723466374716,68052.9,5500.4,37.923922997916,41.024,70.464,109.568,221.408,23.488,0.582198001816531,330.976,0.494869200751554,465.952,0.0504086257811964,0.333333333333333,99.448922271997,0.0854559285897161
25% PCC,25,56,2,8.65,8.25,3.972,12.3910571779183,61835.9,4989.5,34.401391498455,41.024,70.464,109.568,221.408,23.488,0.582198001816531,330.976,0.494869200751554,465.952,0.0504086257811964,0.333333333333333,102.226221717826,0.0846162545640838
25% PCC,25,56,3,8.413,8.015,3.976,12.416026556329,66645.8,5364.54,36.9872012724966,41.024,70.464,109.568,221.408,23.488,0.582198001816531,330.976,0.494869200751554,465.952,0.0504086257811964,0.333333333333333,99.5144528489768,0.0845404839110916
